countries,topics,section_title,enb_start_date,enb_short_title,subtype,actors,enb_url,enb_long_title,type,id,enb_end_date
"Germany|Botswana","","RESEARCH AND SYSTEMATIC OBSERVATION:","15-May-12","SB 36","","","http://www.iisd.ca/vol12/enb12536e.html","Bonn Climate Change Conference - May 2012","","enb12536e_22","15-May-12"
"","","PLENARY SUSPENSION:","18-Nov-13","COP 19","PLENARY","","http://www.iisd.ca/vol12/enb12589e.html","Warsaw Climate Change Conference - November 2013","","enb12589e_37","18-Nov-13"
"Austria|Ghana|United States|China|New Zealand","Vulnerabilities and Impacts","FIVE-YEAR PROGRAMME OF WORK ON ADAPTATION","15-May-06","UNFCCC SB 24","","Group of 77|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12306e_45","26-May-06"
"","Vulnerabilities and Impacts","THE BRICKS AND MORTAR","06-Dec-04","UNFCCC COP-10","","Alliance of Small Island States","http://www.iisd.ca/vol12/enb12260e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12260e_85","18-Dec-04"
"Denmark|United Kingdom","","WELCOMING CEREMONY","08-Dec-09","COP 15","plenary","","http://www.iisd.ca/vol12/enb12449e.html","Copenhagen Climate Change Conference","","enb12449e_1","08-Dec-09"
"","","SBSTA Conclusions","06-Jun-11","SB 34","","","http://www.iisd.ca/vol12/enb12513e.html","UN Climate Change Conference June 2011","","enb12513e_14","17-Jun-11"
"Australia|Antigua and Barbuda","","Initial review of the Adaptation Fund","14-May-12","SB 36","","","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","","enb12546e_52","25-May-12"
"Norway","","Sectoral approaches","21-Aug-08","AWGs","","European Union","http://www.iisd.ca/vol12/enb12377e.html","Third session of the Ad Hoc Working Group on Long-term Cooperative Action and first part of the sixth session of the Ad Hoc Working Group on Further Commitments for Annex 1 Parties under the Kyoto Protocol to the UNFCCC","","enb12377e_9","21-Aug-08"
"","","COP/MOP Decision","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_71","11-Dec-10"
"","","CARBON CAPTURE AND STORAGE (SBSTA):","12-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12373e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","","enb12373e_7","12-Jun-08"
"Canada|Hungary|Malaysia|Norway|Japan|China|Australia|Uganda|Saudi Arabia|Switzerland|Mauritius|Iceland","","MATTERS REFERRED TO SBSTA BY THE COP","30-Oct-01","COP-7","","Group of 77|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12179e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12179e_5","30-Oct-01"
"Jamaica|United States|South Africa|Bahamas|China|Malawi","Adaptation","REDD+ (SBSTA)","15-Nov-13","COP 19","","Group of 77|African Group|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12587e.html","Warsaw Climate Change Conference - November 2013","","enb12587e_1","15-Nov-13"
"Japan|Tuvalu|Australia|Costa Rica|United States","","Legal form of the outcome","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_13","12-Jun-09"
"","","IPCC-37 IN THE CONTEXT OF THE FIFTH ASSESSMENT REPORT","14-Oct-13","IPCC37","","","http://www.iisd.ca/vol12/enb12582e.html","Thirty-seventh session of the Intergovernmental Panel on Climate Change (IPCC-37)","ipcc","enb12582e_16","17-Oct-13"
"Brazil|Argentina|Niger|India|New Zealand|Russian Federation|Venezuela|Japan|China|Nigeria|Tuvalu|Saudi Arabia|Belarus|Egypt|South Africa|Bolivia|Russia","","Negotiations on the AWG-KP Conclusions","31-May-10","AWGs","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12472e.html","Bonn Climate Change Talks - May/June 2010","","enb12472e_21","11-Jun-10"
"Chile","","Lands with Forest in Exhaustion under the CDM","03-Jun-13","SB 38","","","http://www.iisd.ca/vol12/enb12580e.html","Bonn Climate Change Conference - June 2013","","enb12580e_33","14-Jun-13"
"Canada|New Zealand|Norway|Japan|Australia|Switzerland","","LULUCF","13-Dec-04","UNFCCC COP-10","","European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12255e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12255e_6","13-Dec-04"
"","","IN THE CORRIDORS","28-Apr-06","IPCC-25","corridors","","http://www.iisd.ca/vol12/enb12294e.html","IPCC-25","ipcc","enb12294e_13","28-Apr-06"
"Austria|Russian Federation|Cuba|France|Pakistan|Russia","Vulnerabilities and Impacts","Plenary discussion","04-Mar-08","Workshop","","","http://www.iisd.ca/vol12/enb12355e.html","UNFCCC Expert Group Meeting on Methods and Tools and on Data and Observations under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)","","enb12355e_16","07-Mar-08"
"India|Tuvalu|United States|Japan|Australia|Mauritius|Canada|Antigua and Barbuda|China|New Zealand","","INTERNATIONAL MEETING TO REVIEW THE IMPLEMENTATION OF THE PROGRAMME OF ACTION FOR SIDS","30-May-05","UNFCCC SB 22","","Group of 77|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12270e_24","30-May-05"
"","","CHARACTERIZING THE PACE IN BONN","29-Mar-09","AWGs","","","http://www.iisd.ca/vol12/enb12407e.html","Fifth session of the Ad Hoc Working Group on Long-term Cooperative Action under the UN Framework Convention on Climate Change (AWG-LCA 5) and Seventh session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG-KP 7)","","enb12407e_28","08-Apr-09"
"","","IN THE CORRIDORS","31-Aug-07","AWG 4","corridors","","http://www.iisd.ca/vol12/enb12338e.html","Vienna Climate Change Talks 2007 - AWG 4 and the Dialogue 4","working group","enb12338e_2","31-Aug-07"
"China","","NON-ANNEX I COMMUNICATIONS","28-Oct-99","COP-5","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12115e.html","Fifth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12115e_13","28-Oct-99"
"","","SBSTA Conclusions","04-Jun-14","SB 40","","","http://www.iisd.ca/vol12/enb12598e.html","Bonn Climate Change Conference - June 2014","","enb12598e_55","15-Jun-14"
"United States","","Progress Reports","30-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12282e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12282e_21","30-Nov-05"
"Suriname|Mexico|Venezuela|Guyana|Papua New Guinea|Panama|Saudi Arabia|United Kingdom|Colombia|Costa Rica|Guinea|Bolivia","Adverse Effects & Response Measure","FINANCE (AWG-LCA)","06-Dec-11","COP17","","European Union","http://www.iisd.ca/vol12/enb12530e.html","Durban Climate Change Conference - COP17/CMP7","","enb12530e_2","06-Dec-11"
"Brazil|Ethiopia|Senegal|New Zealand|Bangladesh|Canada|Mexico|Philippines|Norway|Japan|Kuwait|Switzerland","Flexibility Mechanims","OTHER ISSUES (flexibility mechanisms):","02-Oct-09","AWGs","","African Group|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12432e.html","Bangkok Climate Change Talks - 2009","working group","enb12432e_7","02-Oct-09"
"","","Discussion","14-Jun-05","UNFCCC Technology for Adaptation Workshop","","Least Developed Countries","http://www.iisd.ca/vol12/enb12271e.html","UNFCCC seminar on the development and transfer of environmentally sound technologies for adaptation to climate change","","enb12271e_5","16-Jun-05"
"Austria|Oman|Romania|Saint Lucia","","CAPACITY BUILDING UNDER THE PROTOCOL: Developing countries","06-Dec-08","COP/MOP3","","","http://www.iisd.ca/vol12/enb12346e.html","United Nations Climate Change Conference - Bali","","enb12346e_5","06-Dec-08"
"","","Health","10-Mar-08","Workshop","","","http://www.iisd.ca/vol12/enb12356e.html","UNFCCC Expert Group Meeting on socioeconomic information under the Nairobi Work Programme on Impacts, Vulnerability and Adaptation to Climate Change (NWP)","","enb12356e_7","12-Mar-08"
"United States|Japan|Australia|Canada|Switzerland|New Zealand","Compliance and Enforcement","NATIONAL SYSTEMS, ADJUSTMENTS AND GUIDELINES","08-Nov-99","COP-5","","European Union","http://www.iisd.ca/vol12/enb12123e.html","Fifth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12123e_27","08-Nov-99"
"Canada|Australia|United States","","WORK PROGRAMME ON METHODOLOGICAL ISSUES RELATED TO PROTOCOL ARTICLES 5, 7 AND 8","11-Jun-99","10th Session SBSTA & SBI","","European Union","http://www.iisd.ca/vol12/enb12110e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","","enb12110e_6","11-Jun-99"
"Sweden|United Kingdom|United States|Japan|Brazil|Germany|Mali|Netherlands|Saudi Arabia|Austria|Kazakhstan|China|New Zealand","","COMMENTS FROM GOVERNMENTS:","21-Apr-09","IPCC-30","","","http://www.iisd.ca/vol12/enb12408e.html","Thirtieth Session of the IPCC","ipcc","enb12408e_23","23-Apr-09"
"","","Discussion:","26-Apr-02","Workshop","","","http://www.iisd.ca/vol12/enb12191e.html","Expert meeting on methodologies for technology needs assessments","","enb12191e_8","26-Apr-02"
"Germany|Canada|Trinidad and Tobago","","DEVELOPMENT AND TRANSFER OF TECHNOLOGIES","08-Dec-04","UNFCCC COP-10","","","http://www.iisd.ca/vol12/enb12251e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12251e_17","08-Dec-04"
"","","SBSTA CLOSING PLENARY","08-Dec-14","COP 20","plenary","","http://www.iisd.ca/vol12/enb12614e.html","Lima Climate Change Conference - December 2014","sbsta","enb12614e_2","08-Dec-14"
"","","FINANCE, TECHNOLOGY AND CAPACITY BUILDING DRAFTING GROUP:","04-Aug-10","AWGs","","","http://www.iisd.ca/vol12/enb12475e.html","Bonn Climate Change Talks - August 2010","working group","enb12475e_4","04-Aug-10"
"Uzbekistan|United States|China|New Zealand","","ANNEX I COMMUNICATIONS","20-Oct-97","8th Session of the AGBM, SBSTA 7, SBI 7","","European Union","http://www.iisd.ca/vol12/enb1266e.html","Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate","","enb1266e_9","31-Oct-97"
"Antigua and Barbuda","","SBI","08-Nov-99","COP-5","","","http://www.iisd.ca/vol12/enb12123e.html","Fifth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12123e_39","08-Nov-99"
"Switzerland","","NAMAs BY DEVELOPING COUNTRIES","19-Nov-13","COP 19","","Environmental Integrity Group","http://www.iisd.ca/vol12/enb12590e.html","Warsaw Climate Change Conference - November 2013","SBI","enb12590e_3","19-Nov-13"
"","","DEVELOPMENT & TRANSFER OF TECHNOLOGIES","25-Feb-97","5th Session SBSTA & SBI, AG13 4","","","http://www.iisd.ca/vol12/1240000e.html","Fifth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI","1240000e_13","28-Feb-97"
"Poland","","PROPOSAL FROM THE RUSSIAN FEDERATION TO AMEND CONVENTION ARTICLE 4.2(f)","14-Nov-13","COP 19","","","http://www.iisd.ca/vol12/enb12586e.html","Warsaw Climate Change Conference - November 2013","COP","enb12586e_3","14-Nov-13"
"","","Internal Review of the Activities of the Secretariat","28-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12291e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12291e_48","09-Dec-05"
"Norway|United States|Saudi Arabia|China","","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS","24-May-05","UNFCCC SB 22","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12266e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12266e_11","24-May-05"
"","","SBI Conclusions","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","","enb12459e_114","19-Dec-09"
"Norway","","AWG-KP 6","02-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12386e.html","UN Climate Change Conference - Poznań","working group","enb12386e_8","02-Dec-08"
"","","SPECIAL CLIMATE CHANGE FUND:","14-Nov-06","COP/MOP2","GROUPS","","http://www.iisd.ca/vol12/enb12314e.html","UN Climate Change Conference – Nairobi 2006","SBI","enb12314e_13","14-Nov-06"
"United Kingdom|Canada|Japan|Bulgaria","","INTERNATIONAL ASPECTS OF ANNEX I POLICIES AND MEASURES","25-May-05","UNFCCC SB 22","","European Union","http://www.iisd.ca/vol12/enb12267e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12267e_3","25-May-05"
"","","Conclusion:","09-Apr-01","IPCC-17","","","http://www.iisd.ca/vol12/enb12165e.html","Seventeenth session of the Intergovernmental Panel on Climate Change (IPCC)","","enb12165e_16","09-Apr-01"
"Tuvalu|United States|Saudi Arabia|Peru|Brazil|China|New Zealand","","PROTOCOL ARTICLES 5, 7 & 8","13-Sep-00","SB-13","","Group of 77","http://www.iisd.ca/vol12/enb12148e.html","Thirteenth Session of the Subsidiary Bodies of the UNFCCC","","enb12148e_7","13-Sep-00"
"Poland","","ORGANIZATIONAL MATTERS:","12-Nov-13","COP 19","","","http://www.iisd.ca/vol12/enb12584e.html","Warsaw Climate Change Conference - November 2013","sbi","enb12584e_6","12-Nov-13"
"United States","","INNOVATION","28-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12291e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12291e_123","09-Dec-05"
"Germany","","COP/MOP Decision","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","","enb12459e_45","19-Dec-09"
"","","CLOSING OF WGIII-12","07-Apr-14","IPCC-39","","","http://www.iisd.ca/vol12/enb12597e.html","Twelfth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group III (WGIII-12) and Thirty-ninth Session of the Intergovernmental Panel on Climate Change (IPCC-39)","ipcc","enb12597e_25","12-Apr-14"
"South Africa|China","","IN THE CORRIDORS","08-Dec-11","COP17","CORRIDORS","","http://www.iisd.ca/vol12/enb12532e.html","Durban Climate Change Conference - COP17/CMP7","","enb12532e_5","08-Dec-11"
"Sri Lanka|Nicaragua|Australia|Peru|Costa Rica|Pakistan|Bolivia|Chile|Papua New Guinea|Colombia|Switzerland|Indigenous Peoples|Sudan|Ecuador|Malaysia|Algeria|Venezuela|Iran|China|Dominica|Panama|Saudi Arabia|El Salvador|Swaziland|Argentina|India|Philippines|Congo|Nauru|Gambia|Egypt|Guinea","Post-Kyoto Agreements 2","OPENING STATEMENTS:","28-Nov-12","COP 18","","Group of 77|Brazil, South Africa, India and China|Alliance of Small Island States|Umbrella Group|European Union|Environmental Integrity Group|Bolivarian Alliance For The Peoples Of Our America|League of Arab States|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12558e.html","Doha Climate Change Conference - November 2012","working group","enb12558e_8","28-Nov-12"
"Japan|Russia|United Kingdom|United States","","OTHER EVENTS","02-Jun-98","8th Session SBSTA & SBI","","European Union","http://www.iisd.ca/vol12/enb1277e.html","Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","","enb1277e_3","02-Jun-98"
"","","THE ROAD AHEAD","21-Apr-09","IPCC-30","","","http://www.iisd.ca/vol12/enb12408e.html","Thirtieth Session of the IPCC","ipcc","enb12408e_34","23-Apr-09"
"Youth NGOs|Nepal|Algeria|Fiji|China|Australia|Chile|Nauru|Papua New Guinea|Egypt|Swaziland|Costa Rica|Guinea|Indigenous Peoples","Financial Mechanisms and Funds 2","CLOSING PLENARY:","03-Jun-13","SB 38","","Group of 77|Alliance of Small Island States|Central American Integration System|Umbrella Group|European Union|Environmental Integrity Group|Like Minded Group of Developing Countries|Independent association of Latin America and the Caribbean|League of Arab States|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12580e.html","Bonn Climate Change Conference - June 2013","","enb12580e_49","14-Jun-13"
"","","COP Decision","03-Dec-08","COP/MOP3","","","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","","enb12354e_45","15-Dec-08"
"","","MEASURE OUT THE INGREDIENTS","09-Nov-04","IPCC-22","","","http://www.iisd.ca/vol12/enb12248e.html","IPCC-22","ipcc","enb12248e_16","11-Nov-04"
"","","INTERNATIONAL TRANSACTION LOG:","26-Nov-12","COP 18","","","http://www.iisd.ca/vol12/enb12567e.html","Doha Climate Change Conference - November 2012","SBI","enb12567e_59","08-Dec-12"
"United States","","THE WAY FORWARD","10-Aug-09","AWGs","","","http://www.iisd.ca/vol12/enb12427e.html","Bonn Climate Change Talks - August 2009","","enb12427e_40","14-Aug-09"
"","","SBI Conclusions","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_85","12-Dec-08"
"Brazil","","Experience with reporting and review, and with training of experts","19-May-06","UNFCCC SB 24","","","http://www.iisd.ca/vol12/enb12299e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12299e_20","19-May-06"
"Tuvalu|United States|Australia|Saudi Arabia|Norway|Switzerland","","INTERNATIONAL ORGANIZATIONS","10-Jun-02","SB-16","","European Union","http://www.iisd.ca/vol12/enb12195e.html","Sixteenth Sessions of the Subsidiary Bodies","","enb12195e_1","10-Jun-02"
"","","Other Issues","29-Mar-09","AWGs","","","http://www.iisd.ca/vol12/enb12407e.html","Fifth session of the Ad Hoc Working Group on Long-term Cooperative Action under the UN Framework Convention on Climate Change (AWG-LCA 5) and Seventh session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG-KP 7)","","enb12407e_23","08-Apr-09"
"Ukraine|Kazakhstan|Russian Federation|Mexico|Cyprus|Japan|Venezuela|Australia|Tuvalu|Saudi Arabia|Belarus|United Kingdom|Colombia|Grenada|Costa Rica|Bolivia|Russia","","PROPOSALS FOR AMENDMENTS TO THE CONVENTION UNDER ARTICLES 15 & 16","01-Dec-11","COP17","","European Union","http://www.iisd.ca/vol12/enb12526e.html","Durban Climate Change Conference - COP17/CMP7","cop","enb12526e_3","01-Dec-11"
"Botswana","","SBSTA Conclusions","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_29","12-Jun-09"
"","","SBSTA Conclusions","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_47","12-Dec-08"
"Bolivia|Japan|United Arab Emirates","","General considerations for a framework for various approaches","21-May-12","SB 36","","","http://www.iisd.ca/vol12/enb12541e.html","Bonn Climate Change Conference - May 2012","","enb12541e_2","21-May-12"
"Peru|France|Benin|India|China","","EU PAPER ON DETERMINATION OF THE AMOUNT OF FUNDING NECESSARY AND AVAILABLE","08-Feb-95","11th Session of the INC","","Group of 77|European Union","http://www.iisd.ca/vol12/1203000e.html","Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)","","1203000e_3","08-Feb-95"
"","","FUTURE IPCC ACTIVITIES","31-Aug-08","IPCC-29","","","http://www.iisd.ca/vol12/enb12384e.html","IPCC-29 and Twentieth Anniversary of the IPCC","ipcc","enb12384e_12","04-Sep-08"
"Canada|Peru|India|Switzerland|United States","","Emissions from aviation and maritime transport:","07-Dec-04","UNFCCC COP-10","","Alliance of Small Island States","http://www.iisd.ca/vol12/enb12250e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12250e_6","07-Dec-04"
"El Salvador|Kenya|Netherlands|Tanzania","","STATEMENTS FROM REGIONAL GROUPS","16-Dec-04","UNFCCC COP-10","","Environmental Integrity Group|African Group|European Union","http://www.iisd.ca/vol12/enb12258e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12258e_3","16-Dec-04"
"","","Mexico","19-May-05","SOGE","","","http://www.iisd.ca/vol12/enb12261e.html","Seminar of Governmental Experts","","enb12261e_22","19-May-05"
"South Africa|United States|Japan|Austria|Australia|Norway|China","UNFCCC Functioning","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS","15-May-06","UNFCCC SB 24","","Group of 77|Umbrella Group|European Union","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12306e_31","26-May-06"
"","","IPCC TAR","12-Jun-03","SB-18","","","http://www.iisd.ca/vol12/enb12217e.html","18th Session of the Subsidiary Bodies","","enb12217e_3","12-Jun-03"
"Philippines|Mexico|Bangladesh|China|Tuvalu|Switzerland|Bolivia","","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS:","01-Jun-10","AWGs","","Group of 77","http://www.iisd.ca/vol12/enb12462e.html","Bonn Climate Change Talks - May/June 2010","sbi","enb12462e_25","01-Jun-10"
"Sierra Leone|Bolivia","","Designing and implementing a credible system","21-May-12","SB 36","","Coalition for Rainforest Nations","http://www.iisd.ca/vol12/enb12541e.html","Bonn Climate Change Conference - May 2012","","enb12541e_3","21-May-12"
"Zimbabwe|Denmark|United Kingdom","","MITIGATION:","10-Aug-09","AWGs","","","http://www.iisd.ca/vol12/enb12427e.html","Bonn Climate Change Talks - August 2009","WORKING GROUP","enb12427e_32","14-Aug-09"
"Australia|South Africa","","CONVENTION DIALOGUE","27-Aug-07","AWG 4","plenary","","http://www.iisd.ca/vol12/enb12339e.html","Vienna Climate Change Talks 2007 - AWG 4 and the Dialogue 4","working group","enb12339e_7","31-Aug-07"
"Jamaica|United States|Malaysia|Japan|Senegal|Brazil|Zimbabwe|Canada|Mexico|Uzbekistan","Technology Transfer","NON-ANNEX I COMMUNICATIONS","20-Oct-97","8th Session of the AGBM, SBSTA 7, SBI 7","","European Union","http://www.iisd.ca/vol12/enb1266e.html","Seventh Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) Eighth Session of the Ad Hoc Group on the Berlin Mandate","","enb1266e_10","31-Oct-97"
"Japan|Sweden","","Mitigation","28-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12291e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12291e_115","09-Dec-05"
"","","DECISION 1/CP.10 (SBI):","06-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12390e.html","UN Climate Change Conference - Poznań","","enb12390e_6","06-Dec-08"
"Saudi Arabia","","EMISSIONS FROM INTERNATIONAL AVIATION AND MARITIME TRANSPORT","27-May-05","UNFCCC SB 22","","European Union","http://www.iisd.ca/vol12/enb12269e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12269e_17","27-May-05"
"","","Emissions from international aviation and maritime transport","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_37","12-Jun-09"
"","","COMPLIANCE","15-May-06","UNFCCC SB 24","","","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","","enb12306e_27","26-May-06"
"","","PROSPECTS FOR THE FUTURE","31-Mar-08","AWGs","","","http://www.iisd.ca/vol12/enb12362e.html","First session of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention (AWGLCA 1) and Fifth session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol to the UNFCCC (AWG 5)","WORKING GROUP","enb12362e_20","04-Apr-08"
